Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
Opening remarks,Helena Ullgren ,"Solna, Sweden","Department of Oncology-Pathology & Karolinska Comprehensive Cancer Center, Solna, Sweden.",,Potsdam Auditorium - Hall 5.1,10/18/2025,13:15 - 13:20,Industry-Sponsored Symposium,Empowering nurses and patients to navigate EGFR targeted therapies
Q&A & discussion,Helena Ullgren ,"Solna, Sweden","Department of Oncology-Pathology & Karolinska Comprehensive Cancer Center, Solna, Sweden.",,Potsdam Auditorium - Hall 5.1,10/18/2025,14:15 - 14:40,Industry-Sponsored Symposium,Empowering nurses and patients to navigate EGFR targeted therapies
Conclusion remarks,Helena Ullgren ,"Solna, Sweden","Department of Oncology-Pathology & Karolinska Comprehensive Cancer Center, Solna, Sweden.",,Potsdam Auditorium - Hall 5.1,10/18/2025,14:40 - 14:45,Industry-Sponsored Symposium,Empowering nurses and patients to navigate EGFR targeted therapies
DigiCanTrain - Digital skills training for health care professionals in cancer care,Heli Arffman ,"Turku, Finland","Department of Nursing Science, University of Turku, Turku, Finland. Electronic address: hejopal@utu.fi.",CN139,Oldenburg Auditorium - Hall 5.1,10/18/2025,16:05 - 16:15,Eons Session,Workforce and educational issues in cancer
ctDNA-based detection of minimal residual disease in patients with unresectable NSCLC treated with chemoradiotherapy and durvalumab,Henrik Horndalsveen ,"Oslo, Norway","Department of Oncology, Oslo University Hospital, Oslo, Norway.",1819P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, locally advanced"
Randomized Phase II Study of Induction Nivolumab plus Ipilimumab followed by Nivolumab With Chemoradiotherapy versus Standard of Care Chemoradiotherapy for Women With Locally Advanced Cervical Cancer: Analysis of the response rate to induction immunotherapy in the experimental arm,Henrique A. Helber ,"Sao Paulo, Brazil","HCor Hospital, SP, Brazil.",1127P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Comprehensive Multi-Omics Analysis of Early-Onset Cancer: Insights from the MONSTAR-SCREEN-2 Experience,Hideaki Bando ,"Kashiwa, Japan","Department of Gastrointestinal Oncology, National Cancer Center Hospital East, Kashiwa, Japan.",115MO,Cologne Auditorium - CityCube A,10/18/2025,08:58 - 09:03,Mini Oral Session,Basic science & Translational research
Updated results from a phase 1/2 study of gocatamig for small cell lung cancer (SCLC) and other neuroendocrine cancers,Himisha Beltran ,"Boston, United States of America","Department of Medical Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA.",2758MO,Hamburg Auditorium - CityCube A,10/18/2025,16:35 - 16:40,Mini Oral Session,Non-metastatic NSCLC
"Trends in Myeloma Incidence, Mortality, and Survival Rates in the United States (1975-2022): A Comparative Analysis of Recent and Long-Term Data from the Surveillance, Epidemiology, and End Results (SEER) Program",Hina Javed ,"Rawalpindi, Pakistan","Rawalpindi Medical University, Rawalpindi, Pakistan.",1314eP,Hall 25,10/18/2025,12-13:00,ePoster,Haematological malignancies
Barriers to lung cancer screening in an urban diverse population and the impact of a community-based navigational program,Hina Khan ,"Providence, United States of America","Division of Hematology and Oncology, The Warren Alpert Medical School of Brown University, Providence, RI, USA.",2975P,Hall 25,10/18/2025,12-13:00,Poster,"Thoracic malignancies, other"
Conducive multi-level screening of genetic and protein aberrations in non-small cell lung cancer: A report from LC-SCRUM-Asia,Hiroki Izumi ,"Kashiwa, Japan","National Cancer Center Hospital East, Kashiwa, Japan.",2006P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Comparison of the Efficacy of Ipilimumab Plus Nivolumab With or Without Chemotherapy Based on Baseline Tumor Size: A Sub-analysis of TOPGAN2023-01,Hisashi Tanaka ,"Hirosaki, Japan","Department of Respiratory Medicine, Hirosaki University Graduate School of Medicine, Hirosaki, Japan.",1873P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Host Immune Signatures in Plasma Exosomes Determine Osimertinib Outcomes in EGFR-Mutated Non-Small Cell Lung Cancer (HOT1601),Hisashi Tanaka ,"Japan, Japan","Department of Respiratory Medicine, Hirosaki University Graduate School of Medicine, Hirosaki, Japan.",2046eP,Hall 25,10/18/2025,12-13:00,ePoster,"NSCLC, metastatic"
Results from CompARE phase III RCT: neoadjuvant durvalumab plus chemoradiotherapy (CRT) followed by adjuvant durvalumab immunotherapy (IO) vs CRT alone in intermediate and high-risk oropharyngeal cancer (OPC),Hisham M. Mehanna ,"Birmingham, United Kingdom","Institute of Head and Neck Studies and Education, Institute of Cancer and Genomic Sciences, College of Medical and Dental Sciences, University of Birmingham, Birmingham, UK.",1317O,Dortmund Auditorium - Hall 7.1a,10/18/2025,10:15 - 10:25,Proffered Paper,Head & neck cancer
Welcome and Introduction,Hisham M. Mehanna ,"Birmingham, United Kingdom","Institute of Head and Neck Studies and Education, Institute of Cancer and Genomic Sciences, College of Medical and Dental Sciences, University of Birmingham, Birmingham, UK.",,Bremen Auditorium - Hall 6.2,10/18/2025,13:00 - 14:30,Industry-Sponsored Symposium,214 - MSD - State of the art Management of HNSCC
Treatment Landscape in Resectable LA HNSCC,Hisham M. Mehanna ,"Birmingham, United Kingdom","Institute of Head and Neck Studies and Education, Institute of Cancer and Genomic Sciences, College of Medical and Dental Sciences, University of Birmingham, Birmingham, UK.",,Bremen Auditorium - Hall 6.2,10/18/2025,13:00 - 14:30,Industry-Sponsored Symposium,214 - MSD - State of the art Management of HNSCC
Closing Remarks,Hisham M. Mehanna ,"Birmingham, United Kingdom","Institute of Head and Neck Studies and Education, Institute of Cancer and Genomic Sciences, College of Medical and Dental Sciences, University of Birmingham, Birmingham, UK.",,Bremen Auditorium - Hall 6.2,10/18/2025,13:00 - 14:30,Industry-Sponsored Symposium,214 - MSD - State of the art Management of HNSCC
Utilising the CHAARTED and STAMPEDE2 criteria in the Prostate Specific Membrane Antigen Positron Emission Tomography (PSMA PET) era: Implications on outcomes in metastatic prostate cancer (mPC),Hoda Abdel-Aty ,"London, United Kingdom","Medical Research Council Clinical Trials Unit at UCL, Institute of Clinical Trials and Methodology, University College London, London, UK",2400P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
Clinical Application of Radical Radiotherapy with Different EBRT/ISBT Dose Combinations in Patients with Postoperative Pelvic Recurrence and Metastasis of Cervical Cancer,Hong Liu ,"Shijiazhuang, China","Department of Dermatology, Xiangya Hospital, Central South University, Changsha 410008, China, National Engineering Research Center of Personalized Diagnostic and Therapeutic Technology",1206P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Single cell RNA-sequencing reveals IGFBP3+ CAFs as a critical player in lung cancer metastasis,Hongfang Zhang ,"Hangzhou, China","Hangzhou Cancer Institution, Affiliated Hangzhou Cancer Hospital, Zhejiang University School of Medicine, Hangzhou, China",1925P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Welcome and Introduction,Hope S. Rugo ,"Los Angeles, United States of America, CA","University of California San Francisco Helen Diller Family Comprehensive Cancer Center, CA",,Nuremberg Auditorium - Hall 5.2,10/18/2025,18:30 - 20:00,Industry-Sponsored Symposium,Clinical Decision-Making and Opportunities
Monday Morning Clinic: Navigating Clinical Scenarios to Individualise Care in HR+/HER2- Metastatic Breast Cancer,Hope S. Rugo ,"Los Angeles, United States of America, CA","University of California San Francisco Helen Diller Family Comprehensive Cancer Center, CA",,Nuremberg Auditorium - Hall 5.2,10/18/2025,18:30 - 20:00,Industry-Sponsored Symposium,Clinical Decision-Making and Opportunities
Rapid Fire Panel Discussion and Audience Q&A,Hope S. Rugo ,"Los Angeles, United States of America, CA","University of California San Francisco Helen Diller Family Comprehensive Cancer Center, CA",,Nuremberg Auditorium - Hall 5.2,10/18/2025,18:30 - 20:00,Industry-Sponsored Symposium,Clinical Decision-Making and Opportunities
Closing remarks,Hope S. Rugo ,"Los Angeles, United States of America, CA","University of California San Francisco Helen Diller Family Comprehensive Cancer Center, CA",,Nuremberg Auditorium - Hall 5.2,10/18/2025,18:30 - 20:00,Industry-Sponsored Symposium,Clinical Decision-Making and Opportunities
MedSR (Median Short Fragment Ratio): A Novel Fragmentomics Biomarker for Predicting Prognosis in Advanced EGFR-mutant Lung Cancer,Hui Li ,"Hangzhou, China","Department of Radiology, Shanghai Jiao Tong University School of Medicine Affiliated Shanghai Sixth People's Hospital, Shanghai 200233, China.",1968P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
"A phase II, two-cohort study of neoadjuvant chemoimmuotherapy +/- bevacizumab followed by concurrent chemoradiotherapy and consolidative immunotherapy in locally advanced non-small cell lung cancer (GASTO-1086)",Hui Liu ,"Guangzhou, China","Department of Basic Public Health, Guangzhou Center for Disease Control and Prevention, Guangzhou 510440, China.",1823P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, locally advanced"
NGS-guided double dose of targeted therapy combined with intrathecal pemetrexed chemotherapy: a reliable option for TKI-resistant NSCLC with leptomeningeal metastases,Huiying Li ,"Nanjing, China","Department of Oncology Surgery, Harbin Medical University Cancer Hospital, Harbin, Heilongjiang, China.",2005P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Efficacy and Safety of All-Site Radiation Therapy and Standard of Care Therapy with or without Docetaxel for Hormone-Sensitive High Gleason Score Prostate Cancer: 6-Year Results from a Long-Term Study,Huizhu Chen ,"Beijing, China","School of Clinical Medicine, Peking University Health Science Center, Beijing 100191, China.",2436P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
First-Line Lenvatinib + Pembrolizumab (L + P) vs Chemotherapy (CT) for Advanced or Recurrent Endometrial Cancer (EC): Additional 1-Year Follow-Up Results From ENGOT-en9/LEAP-001,Huseyin Akıllı ,"Ankara, Turkey","Başkent University School of Medicine, Department of Gynecology and Obstetrics, Ankara, Turkiye.",1114P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Emerging medical therapies for brain and leptomeningeal melanoma metastases,Hussein A. Tawbi ,"Houston, United States of America","Department of Melanoma Medical Oncology, The University of Texas Anderson Cancer Center, Houston, TX, USA.",,Heidelberg Auditorium - Hall 6.2,10/18/2025,08:35 - 08:55,Multidisciplinary Session,Management of patients with melanoma central nervous system metastases
Combined treatment with radium-223 (RAD) and enzalutamide (ENZ) in patients (pts) with metastatic castration-resistant prostate cancer (mCRPC): insights from the global REASSURE study,Igle Jan de Jong ,"Groningen, Netherlands","Department of Urology, University Medical Center Groningen, Groningen",2401P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
A phase 2 study of participant (pt)-reported preference for pembrolizumab (pembro) administered subcutaneously (SC) or intravenously (IV),Ignacio A. Casarini ,"Mar del Plata, Argentina","Hospital Bernardo Houssay, Mar del Plata, Argentina.",3145P,Hall 25,10/18/2025,12-13:00,Poster,General interest
Incidence of germline BRCA1/2 mutations in high-grade serous epithelial ovarian cancer (EOC): Final results of the GEICO 60-O/BORNEO study,Ignacio Romero ,"Valencia, Spain","INCLIVA, CIBERONC, GEICO, Hospital Clinico Universitario de Valencia, Valencia, Spain.",1107P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Inflammatory biomarker panel predicting grade >=2 neurotoxicity in Enfortumab Vedotin (EV) treated patients (pts).,Ilana B. Epstein ,"Boston, United States of America","Dana-Farber Cancer Institute/Brigham and Women's Hospital Harvard Medical School, Boston, MA.",3108P,Hall 25,10/18/2025,12-13:00,Poster,Urothelial cancer
Somatic copy number alterations profiling in non-small cell lung cancer and their correlation with clinical efficacy in first-line treatment.,Ilaria Priano ,"Barcelona, Spain","Department of Medical Oncology, Vall d´Hebron Institute of Oncology (VHIO), Vall d'Hebron Hospital Universitari, Barcelona, Spain.",1935P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Assessing the benefit-to-risk ratio of first-line treatments for elderly patients (>= 80 year-old) with advanced NSCLC,Ilaria Ricciotti ,"Bologna, Italy","Department of Medical and Surgical Sciences, University of Bologna, Bologna, Italy.",2056eP,Hall 25,10/18/2025,12-13:00,ePoster,"NSCLC, metastatic"
EVOLUTE: Enfortumab-Vedotin in OLder patients with locally advanced/metastatic UroThElial carcinoma,Ilgin Akbiyik ,"Ankara, Turkey",,3112eP,Hall 25,10/18/2025,12-13:00,ePoster,Urothelial cancer
Quality assurance in oncology - Role of nurse (Perspective from Turkey),Imatullah Akyar ,"Ankara, Turkey","Internal Medicine Nursing Department, Faculty of Nursing, 37515Hacettepe University, Ankara, Turkey.",,Potsdam Auditorium - Hall 5.1,10/18/2025,15:25 - 15:45,Eons Session,Quality assurance - Perspectives from different countries
clinical validation of a metabolomics-based multi-cancer early detection test,Imliwati Longkumer ,"Guwahati, India","North-East Cancer Hospital and Research Institute, Guwahati 781023, Assam, India.",3157P,Hall 25,10/18/2025,12-13:00,Poster,General interest
Clinical and multi-omics predictive model of resistance to neoadjuvant anti-PD1 (PD1) in melanoma.,Ines Pires da Silva ,"Wollstonecraft, Australia","Melanoma Institute Australia, Wollstonecraft, Australia.",117MO,Cologne Auditorium - CityCube A,10/18/2025,09:26 - 09:31,Mini Oral Session,Basic science & Translational research
Digital infrastructure for clinical trials,Ines V. Vaz-Luis ,"Villejuif, France","Interdisciplinary Department for the Organization of Patient Pathways (DIOPP), Gustave Roussy, Villejuif, France.",,Hamburg Auditorium - CityCube A,10/18/2025,10:45 - 11:00,Symposium,Clinical trials in the age of AI
Time to quality of life (QoL) deterioration in patients (pts) with mismatch repair proficient/microsatellite stable (MMRp/MSS) primary advanced or recurrent endometrial cancer (pA/rEC) and by population subgroups in the ENGOT-EN6-NSGO/GOG-3031/RUBY trial,Ingrid A. Boere ,"Rotterdam, Netherlands","Department of Medical Oncology, Erasmus MC Cancer Institute, University Medical Centre Rotterdam, Netherlands.",1118P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Invited Discussant,Ingrid Glimelius ,"Uppsala, Sweden",Department of Hematology and Oncology Akademiska Hospital Uppsala Sweden.,,Karlsruhe Auditorium - Hall 5.2,10/18/2025,16:05 - 16:15,Mini Oral Session,Supportive and palliative care
Real-world (rw) outcomes in patients (pts) with advanced ovarian cancer (aOC) receiving niraparib (nir) as first-line maintenance (1LM) in the EUROPA study,Ioana Braicu ,"Berlin, Germany","Clinics for Obstetrics and Gynecology, University Medicine Charité Campus Virchow, Berlin, Germany.",1104P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
DNA-repair patterns (DRP) and immune contexture define durable benefit for BRCA2-deficient high-grade serous carcinoma (HGSC) in a national genomic study,Ionut Gabriel Funingana ,"Cambridge, United Kingdom","Department of Oncology, University of Cambridge, Cambridge Biomedical Campus, Cambridge CB2 0AH, UK, Cancer Research UK Cambridge Institute, Li Ka Shing Centre, University of Cambridge",1145P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Metastatic spread and PD-L1 expression co-determine benefit from pembrolizumab in advanced non-squamous NSCLC,Irina Surovtsova ,"Stuttgart, Germany","Clinical State Registry Baden-Württemberg GmbH, Baden-Württemberg Cancer Registry (BWCR), Stuttgart, Germany.",1886P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Presentation of case/condition,Iris Dirven ,"Jette, Belgium","Team Laboratory for Medical and Molecular Oncology (LMMO), Translational Oncology Research Center (TORC), Laarbeeklaan 101, Belgium.",,Heidelberg Auditorium - Hall 6.2,10/18/2025,08:30 - 08:35,Multidisciplinary Session,Management of patients with melanoma central nervous system metastases
"Racial disparities in the trends of multicategory causes of death in U.S. cancer patients, 2000-2022",Iris Shen ,"Boston, United States of America","The Winsor School, Boston, MA, USA.",3160P,Hall 25,10/18/2025,12-13:00,Poster,General interest
A German Perspective on the Cost-Effectiveness of Axicabtagene Ciloleucel Versus Standard of Care as Second-Line Therapy in Patients With Large B-Cell Lymphoma,Isabell Kaufhold ,"Cologne, Germany",,1282P,Hall 25,10/18/2025,12-13:00,Poster,Haematological malignancies
"Results from the first-in-human phase 1 study of LY4170156, an antibody drug conjugate (ADC) targeting folate receptor alpha in recurrent platinum resistant high-grade serous ovarian cancer (HGSOC)",Isabelle L. Ray-Coquard ,"Lyon, France, CEDEX","Medical Oncology Department, Centre Léon Bérard, GINECO, Lyon, France.",1067P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Invited Discussant LBA3,Isabelle L. Ray-Coquard ,"Lyon, France, CEDEX","Medical Oncology Department, Centre Léon Bérard, GINECO, Lyon, France.",,Berlin Auditorium - Hub 27,10/18/2025,17:48 - 17:58,Proffered Paper,Presidential Symposium I
Real-world benefit of chemoimmunotherapy in patients with low PD-L1 NSCLC: Impact of clinical trial eligibility status,Ishida Masaki ,"Kyoto, Japan",,1869P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
PD-L1 expression levels in EGFR-mutant non-small cell lung cancer as a potential selection marker for chemotherapy combination regimens after EGFR-TKI therapy: A real-world observational study,Ishida Masaki ,"Kyoto, Japan",,1962P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Predicting Chemotherapy-Related severe Hematological Toxicities in Cancer Patients using Machine Learning,Ishita Rastogi ,"Bhubaneswar, India",,2807MO,Karlsruhe Auditorium - Hall 5.2,10/18/2025,15:55 - 16:00,Mini Oral Session,Supportive and palliative care
"Educate, Counsel, Advocate: How the Quality Assurance Unit’s ABC MEDICINE Program Empowers Medical Students in Cancer Awareness and Patient Engagement",Israa Ahmed Ali Abdelrahem Qutob ,"Alexandria, Egypt","Alexandria University, Alexandria, Egypt.",CN41,Hall 25,10/18/2025,12-13:00,Poster,"Cancer Nursing: Health promotion, prevention and screening"
Evaluating the Role of Statins as Prophylaxis Against Cardiotoxicity in Cancer Patients After Chemotherapy: A Systematic Review and Meta-Analysis With GRADE analysis.,Israa Ahmed Ali Abdelrahem Qutob ,"Alexandria, Egypt","Alexandria University, Alexandria, Egypt.",3161eP,Hall 25,10/18/2025,12-13:00,ePoster,General interest
Unreported and Discontinued Clinical Trials in Bone Cancer Research: A Cross-Sectional Analysis of Publication Gaps and Underlying Factors,Israa Ahmed Ali Abdelrahem Qutob ,"Alexandria, Egypt","Alexandria University, Alexandria, Egypt.",3162eP,Hall 25,10/18/2025,12-13:00,ePoster,General interest
"Safety and Efficacy of Bevacizumab Biosimilars in Patients with Non-Small Cell Lung Cancer: A Systematic Review and Network Meta-Analysis of 11,494 Patients.",Israa Ahmed Ali Abdelrahem Qutob ,"Alexandria, Egypt","Alexandria University, Alexandria, Egypt.",1844eP,Hall 25,10/18/2025,12-13:00,ePoster,"NSCLC, locally advanced"
Invited Discussant,Ivan Marquez-Rodas ,"Madrid, Spain","Medical Oncology Department, Hospital General Universitario Gregorio Marañón, Madrid, Spain.",,Dortmund Auditorium - Hall 7.1a,10/18/2025,15:25 - 15:35,Mini Oral Session,Melanoma and other skin tumours
Recommendations for patient follow-up whilst on treatment,Ivana Bozovic Spasojevic ,"Belgrade, Serbia","Medical Oncology Department, Institute of Oncology and Radiology of Serbia, Belgrade.",,Essen Auditorium - Hall 7.2a,10/18/2025,10:40 - 11:00,Multidisciplinary Session,Supporting AYA through treatment and beyond
Durability of Complete Response (CR) to First Line (1L) in metastatic renal cell carcinoma (mRCC) in the Real World,J. Connor Wells ,"Vancouver, Canada","BC Cancer Agency, Vancouver, Canada.",2629P,Hall 25,10/18/2025,12-13:00,Poster,Renal cancer
Time Commitment Requirements for Clinical Trial Participation in Patients with Metastatic Urothelial Carcinoma,J. Connor Wells ,"Vancouver, Canada","BC Cancer Agency, Vancouver, Canada.",3130eP,Hall 25,10/18/2025,12-13:00,ePoster,Urothelial cancer
Day-7 ctDNA Response as a Prognostic Marker in EGFR-Mutant NSCLC Under Osimertinib: The MELROSE Study,Jaafar Bennouna ,"Suresnes, France, CEDEX","Department of Medical Oncology, Hospital Foch, Suresnes, France.",1957P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
LuRa: Efficacy and Tolerability of Radium-223 Following [177Lu]Lu-PSMA-617 in Patients with Metastatic Castration-Resistant Prostate Cancer.,Jabra Zarka ,"Rochester, United States of America","Department of Leukemia, The University of Texas Anderson Cancer Center, TX, Houston, USA.",2403P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
Invited Discussant,Jacob Sands ,"Boston, United States of America","Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA.",,Hamburg Auditorium - CityCube A,10/18/2025,17:25 - 17:35,Mini Oral Session,Non-metastatic NSCLC
AI-powered multimodal prediction of response in 1L non-mutated mNSCLC using routine pre-treatment data (DEEP Lung-IV),Jacques Cadranel ,"Paris, France","Chest Department and Thoracic Oncology, Tenon Hospital, Sorbonne Université, GRC4 Theranoscan, Paris, France.",1916P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Brain metastasis (BM) from bladder cancer (BCa) in the era of Antibody-Drug Conjugates (ADCs): impact on survival from a large cohort,Jad El Masri ,"Boston, United States of America","Neuroscience Research Center, Faculty of Medical Sciences, Lebanese University, Beirut, Lebanon.",3120eP,Hall 25,10/18/2025,12-13:00,ePoster,Urothelial cancer
Phase I Trial of Camu Camu Prebiotic Plus Immunotherapy in Patients with Melanoma and Non-Small Cell Lung Cancer (NSCLC),Jade Maillou ,"Montreal, Canada","University of Montreal Research Center (CR-CHUM), Montreal, QC, Canada.",LBA62,Dortmund Auditorium - Hall 7.1a,10/18/2025,14:50 - 14:55,Mini Oral Session,Melanoma and other skin tumours
Companion diagnostic assay for c-Met protein overexpression (OE) to identify patients (pts) who may benefit from telisotuzumab vedotin (Teliso-V),Jair Bar ,"Ramat Gan, Israel","Jusidman Institute of Oncology, Sheba Medical Center, Israel.",1951P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Efficacy of ABBV-706 as second-line treatment for patients with platinum-refractory/resistant small cell lung cancer,Jair Bar ,"Ramat Gan, Israel","Jusidman Institute of Oncology, Sheba Medical Center, Israel.",2777P,Hall 25,10/18/2025,12-13:00,Poster,SCLC
Efficacy of immunotherapy alone or in combination with other drugs in patients with advanced/recurrent (A/R) endometrial cancer (EC): a systematic review and meta-analysis of indirect comparison.,Jalissa Katrini ,"Milan, Italy","Division of New Drugs and Early Drug Development for Innovative Therapies, European Institute of Oncology, IRCCS, Milan, Italy, Department of Oncology and Hemato-Oncology, University of Milan, Milan",1207P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Harnessing the immune system for cancer prevention,James L. Reading ,"London, United Kingdom","Cancer Research UK Lung Cancer Centre of Excellence, University College London Cancer Institute, University College London, London, UK, Pre-Cancer Immunology Laboratory",,Bochum Auditorium - Hall 6.1,10/18/2025,11:00 - 11:15,Symposium,The state-of-the-art of personalised prevention
First results from RAMPART: An international phase 3 randomised-controlled trial of adjuvant durvalumab monotherapy or combined with tremelimumab for resected primary renal cell carcinoma (RCC) led by MRC CTU at UCL,James Larkin ,"London, United Kingdom","Royal Marsden Hospital and Institute for Cancer Research, London, UK.",LBA93,Berlin Auditorium - Hub 27,10/18/2025,09:20 - 09:30,Proffered Paper,"GU tumours, renal & urothelial"
Mechanisms of immunorelated toxicity,James Larkin ,"London, United Kingdom","Royal Marsden Hospital and Institute for Cancer Research, London, UK.",,Koblenz Auditorium - Hall 5.2,10/18/2025,10:15 - 10:35,Special Session,When does oncology need a cardiologist?
What is the optimal duration of preoperative systemic therapies?,James Larkin ,"London, United Kingdom","Royal Marsden Hospital and Institute for Cancer Research, London, UK.",,Hamburg Auditorium - CityCube A,10/18/2025,12:30 - 12:45,Special Session,Neoadjuvant VS adjuvant VS perioperative strategies in solid tumors
Outcomes of Male Patients with Relapsed/Refractory Germ Cell Tumors Treated with Tandem High-Dose Chemotherapy and Autologous Stem Cell Transplantation: Princess Margaret Cancer Centre 16 Year Experience,James Nolan ,"Toronto, Canada","Keele Cardiovascular Research Group, Centre for Prognosis Research, Institute for Primary Care and Health Sciences, Keele University, Keele, UK.",1040P,Hall 25,10/18/2025,12-13:00,Poster,Germ cell (testicular) cancer and penile cancer
"Ageing With Cancer: Exploring the Nature, Influences, and Experiences of Unmet Needs Among Older Adult Cancer Survivors",Janice Richmond ,"Letterkenny, Ireland","Department of Oncology, Letterkenny University Hospital, Donegal, Ireland.",CN53,Oldenburg Auditorium - Hall 5.1,10/18/2025,17:05 - 17:10,Eons Session,EONS Rapid fire session 1
"ARTEMIDE-Lung04: a phase 3, randomised, double-blind, global study of rilvegostomig or pembrolizumab monotherapy as first-line (1L) treatment for patients with metastatic non-small cell lung cancer (mNSCLC) and programmed cell death ligand-1 (PD-L1) expression >=50%",Jarushka Naidoo ,"Dublin, Ireland","Beaumont RCSI Cancer Centre, Beaumont Hospital, Dublin, Ireland, Sidney Kimmel Comprehensive Cancer Centre at Johns Hopkins University, USA.",2025TiP,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
"Efficacy, safety and subgroup analysis of 177Lu-edotreotide vs everolimus in patients with Grade 1 or Grade 2 GEP-NETs: Phase 3 COMPETE trial",Jaume Capdevila ,"Barcelona, Spain","Department of Medical Oncology, Vall d'Hebron University Hospital, Barcelona, Spain.",1706O,Karlsruhe Auditorium - Hall 5.2,10/18/2025,11:05 - 11:15,Proffered Paper,NETs and endocrine tumours
Welcome and introduction,Javier C. Cortes ,"Barcelona, Spain","International Breast Cancer Center (IBCC), Barcelona, Spain.",,Koblenz Auditorium - Hall 5.2,10/18/2025,13:00 - 14:30,Industry-Sponsored Symposium,From Pre-Treated to Front-Line Setting
ADCs as an established therapy in previously treated mTNBC and HR+/HER2- mBC,Javier C. Cortes ,"Barcelona, Spain","International Breast Cancer Center (IBCC), Barcelona, Spain.",,Koblenz Auditorium - Hall 5.2,10/18/2025,13:00 - 14:30,Industry-Sponsored Symposium,From Pre-Treated to Front-Line Setting
Interactive panel discussion including audience Q&A,Javier C. Cortes ,"Barcelona, Spain","International Breast Cancer Center (IBCC), Barcelona, Spain.",,Koblenz Auditorium - Hall 5.2,10/18/2025,13:00 - 14:30,Industry-Sponsored Symposium,From Pre-Treated to Front-Line Setting
Closing Remarks,Javier C. Cortes ,"Barcelona, Spain","International Breast Cancer Center (IBCC), Barcelona, Spain.",,Koblenz Auditorium - Hall 5.2,10/18/2025,13:00 - 14:30,Industry-Sponsored Symposium,From Pre-Treated to Front-Line Setting
ImmunoDriver-2: CD8 T cell and PD-L1 levels associate with first-line (1L) overall survival (OS) in immune checkpoint inhibition (ICI)-treated non-small cell lung cancer (NSCLC),Jay M. Lee ,"Los Angeles, United States of America","Division of Thoracic Surgery, Department of Surgery, University of California",1920P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Complex supportive care,Jayne E. Wood ,"London, United Kingdom","The Symptom Control and Palliative Care Team, The Royal Marsden NHS Foundation Trust, London, UK.",,Erfurt Auditorium - CityCube A,10/18/2025,12:00 - 13:00,Young Oncologists Session,Young Oncologists clinical case discussions
Risk factors of cytokine release syndrome in patients with solid tumors treated with T-cell engagers in early phase clinical trials,Jean David HEISBOURG ,"Orsay, France","INSERM U1245, Department of Metabolic Biochemistry, UNIROUEN, CHU Rouen, Rouen, France.",3139P,Hall 25,10/18/2025,12-13:00,Poster,General interest
A New Era in Oncology: The Evolution of Antibody-Drug Conjugates,Jeffrey R. Harris ,"Princeton, United States of America","University of Washington School of Public Health, Seattle, WA, University of Washington Health Promotion Research Center, Seattle, WA",,Bremen Auditorium - Hall 6.2,10/18/2025,18:30 - 20:00,Industry-Sponsored Symposium,222 - Genmab - Advancing Antibody-Drug Conjugates Into the Future of Gynecologic Malignancies
NK-based therapies,Jeffrey S. Miller ,"Minneapolis, United States of America","University of Minnesota Masonic Cancer Center, Minneapolis, Minnesota, USA.",,Munich Auditorium - CityCube B,10/18/2025,09:20 - 09:45,Educational Session,Adoptive cell therapy
