Abstract #,Poster #,Title,Authors,Institutions
846,H10,Use of urinary cell-free DNA fragmentomics in urothelial carcinoma diagnosis.,"Huan Zhao , Shuang Gan , Hang Dong , Haoran Tang , Zhihui Zhang , Na Wei , Jingjing Xu , Pan Du , Shidong Jia , Ting Xiao , Huiqin Guo","Department of Pathology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Huidu Shanghai Medical Sciences, Ltd., Huidu (Shanghai) Medical Sciences, Ltd., Department of Pathology, The First Affiliated Hospital of Zhengzhou University"
260,H1,"Assessing the impact of PTEN loss on outcomes in high-/very high-risk, advanced hormone-sensitive prostate cancer patients: Institutional retrospective study.","Tamara Jamaspishvili , Palak Patel , Mackenzie Bennett , Jonathan Bearden , Amber Bixby , Devashish Desai , Michel Nasr , Gennady Bratslavsky , Hanan Goldberg , Alina Basnet","Department of Pathology, SUNY Upstate Medical University, SUNY Upstate Medical University, Department of Urology, SUNY Upstate Medical University, Department of Urology, SUNY Upstate, Department of Hematology/Oncology, SUNY Upstate Medical University"
148,D22,Effect of enzalutamide on anticoagulant therapy with edoxaban in patients with prostate cancer.,"Catharina Op't Hoog , Niven Mehra , Anouk van Kleef , Diederik Somford , Inge van Oort , Alex Imholz , Paul Hamberg , Nielka Van Erp , Emmy Boerrigter","Department of Pharmacy, Radboud University Medical Center, Radboud University Medical Center, Department of Urology, Canisius Wilhelmina Hospital, Department of Medical Oncology, Deventer Ziekenhuis, Department of Medical Oncology, Franciscus Gasthuis & Vlietland"
507,F5,Multimodal management of oligometastatic and oligoprogressive renal cancer patients with extra-lung metastases: The KAIROS study.,"Alessandra Dimino , Mimma Rizzo , Ivan Fazio , Carmelo Carlo Arcara , Gianluca Mortellaro , Lorenzo Antonuzzo , Vincenza Conteduca , Helga Lipari , Antonella Mazzonello , Mikol Modesti , Giuseppe Badalamenti , Grazia Sirgiovanni , Sara Inguglia , Laura Algeri , Tancredi Didier Bazan Russo , Sergio Bracarda , Camillo Porta , Antonio Russo , Lorena Incorvaia","Department of Precision Medicine in Medical, Surgical, and Critical Care (Me.Pre.C.C.), University of Palermo, Division of Medical Oncology, Policlinico di Bari, Radiation Therapy Unit, Clinica Macchiarella, Medical Oncology Unit, La Maddalena Hospital, Radiation Oncology, ARNAS Civico Hospital, Clinical Oncology Unit, Careggi University Hospital - Department of Experimental and Clinical Medicine, University of Florence, Unit of Medical Oncology and Biomolecular Therapy, Department of Medical and Surgical Sciences, University of Foggia, Policlinico Riuniti, Azienda Ospedaliera Cannizzaro, Department of Experimental and Clinical Medicine, University of Florence, Department of Precision Medicine in Medical, Surgical and Critical Care (Me.Pre.C.C.), Section of Medical Oncology, University of Palermo, Medical and Translational Oncology, Azienda Ospedaliera Santa Maria Terni, Department of Precision Medicine in Medical, Surgical and Critical Care, University of Palermo, Medical and Translational Oncology Unit, Department of Oncology, Azienda Ospedaliera Santa Maria di Terni, Chair of Oncology, Department of Biomedical Sciences and Human Oncology, University of Bari 'A. Moro'; Division of Medical Oncology, A.O.U. Consorziale Policlinico di Bari"
348,J12,Natural history and risk-stratification of biochemical recurrence in prostate cancer treated with definitive radiotherapy.,"Paul Riviere , Kylie Morgan , Tyler Nelson , Daniel Sabater Minarim , Leah Deshler , Matthew Banegas , Tyler Stewart , Rana McKay , Juan Javier-Desloges , Kellogg Parsons , Brent Rose","Department of Radiation Medicine and Applied Sciences, University of California, San Diego, University of California, San Diego Health, VA San Diego Health Care System, Center for Health Equity Education and Research, UCSD Health, CHEER, University of California, San Diego Health, University of California, San Diego, Department of Medicine, University of California San Diego, Department of Urology, University of California, San Diego, University of Michigan"
427,L23,Automated classification of treatment state of patients with prostate cancer from structured medical record data to help enhance care.,"Richard Boyajian , Ashleigh Kowtoniuk , Sharon Hensley Alford , Tarun Kumar , Shilpa Mahatma , Pravin Solankar , Shrey Kumar , Paul Nguyen","Department of Radiation Oncology, Brigham and Women's Hospital, Brigham and Women's Hospital, Cancer Insights"
153,D27,Impact of geographic and demographic characteristics on treatment with Lu-PSMA for metastatic castrate-resistant prostate cancer (mCRPC).,"Abigail Pepin , Abigail Doucette , Samuel Takvorian , Vivek Narayan , Sophia O'Brien , David Mankoff , Philipose Mulugeta , Daniel Pryma , Neil Taunk","Department of Radiation Oncology, Hospital of University of Pennsylvania, Abramson Cancer Center, Penn Medicine, Abramson Cancer Center and Perelman School of Medicine, Abramson Cancer Center, University of Pennsylvania, Perelman School of Medicine at the University of Pennsylvania, Abramson Cancer Center, Hospital of University of Pennsylvania, Department of Radiation Oncology, University of Pennsylvania"
737,D34,Bayesian re-analysis: Comparing radical cystectomy with trimodality therapy in patients with muscle invasive bladder cancer.,"Abigail Pepin , Ronac Mamtani , John Christodouleas , Daniel Lee","Department of Radiation Oncology, Hospital of University of Pennsylvania, Division of Hematology and Oncology, Department of Medicine, University of Pennsylvania, University of Pennsylvania"
129,D3,Safety evaluation of stereotactic body radiation therapy (SBRT) during lutetium-177-PSMA-617 (177Lu-PSMA-617) treatment for patients with metastatic prostate cancer.,"Adam Kessel , Miguel Muniz , Jamie O'Byrne , Ryan Phillips , Sean Park , Brian Davis , Brad Stish , Chunhee Choo , Kenneth Merrell , Eugene Kwon , Geoffrey Johnson , Fernando Quevedo , Jacob Orme , Daniel Childs , Jessica Wilson","Department of Radiation Oncology, Mayo Clinic in Rochester, Department of Medical Oncology, Mayo Clinic in Rochester, Mayo Clinic in Rochester, Department of Nuclear Medicine, Mayo Clinic in Rochester, Department of Radiation Oncology, Mayo Clinic"
425,L21,RadOnc-GPT (gpt-4o) versus human data extraction for prostate cancer clinical research.,"Mohammad Javad Namazi , Mariana Borras Osorio , Jason Holmes , David Routman , Daniel Ebner , Peilong Wang , Wei Liu , Mark Waddle","Department of Radiation Oncology, Mayo Clinic in Rochester, Department of Radiation Oncology, Mayo Clinic in Arizona, Department of Pediatric and Adolescent Medicine, Mayo Clinic in Rochester"
424,L20,PSA dynamics: Enhancing predictive models in prostate cancer follow-up.,"Lydia Ekama , Mariana Borras Osorio , Mohammad Javad Namazi , Aaron Bogan , Bryce Comstock , Benjamin Kamdem Talom , Taylor Weiskittel , Dalton Griner , Brian Davis , Brad Stish , Chunhee Choo , Ryan Phillips , Thomas Pisansky , Daniel Ebner , David Routman , Mark Waddle","Department of Radiation Oncology, Mayo Clinic in Rochester, Quantitative Health Science Research, Mayo Clinic in Arizona, Mayo Clinic College of Medicine and Science, Mayo Clinic, Department of Radiation Oncology, Mayo Clinic"
24,A2,National cancer system characteristics and prostate cancer outcomes: A global analysis.,"Edward Christopher Dee , Ranvir Iyengar , Aditya Narayan , Erin Jay Feliciano , Himanshu Nagar , Brandon Mahal , Paul Nguyen","Department of Radiation Oncology, Memorial Sloan Kettering Cancer Center, Memorial Sloan Kettering Cancer Center, Stanford Medicine, Department of Medicine, NYC Health + Hospitals/Elmhurst, Icahn School of Medicine at Mount Sinai, University of Miami Miller School of Medicine, Brigham and Women's Hospital"
557,G24,A phase II clinical study of camrelizumab plus apatinib in combination with stereotactic body radiotherapy (SBRT) for advanced non-clear cell renal cell carcinoma (nccRCC).,"Xinyue Zhang , Ruiqi Liu , Yang Liu , Wensu Wei , Zhiling Zhang , Jianming Gao , Shengjie Guo , Hui Han , Fangjian Zhou , Pei Dong , Liru He","Department of Radiation Oncology, Sun Yat-sen University Cancer Center, State Key Laboratory of Oncology in South China, Guangdong Provincial Clinical Research Center for Cancer, Department of Urology, Sun Yat-sen University Cancer Center, State Key Laboratory of Oncology in South China, Guangdong Provincial Clinical Research Center for Cancer, Department of Urology, Sun Yat-sen University Cancer Center, State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Department of Urology, State Key Laboratory of Oncology in South China, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-sen University Cancer Center, Department of Urology Oncology, Sun Yat-sen University Cancer Center, State Key Laboratory of Oncology in South China, Guangdong Provincial Clinical Research Center for Cancer"
375,K5,PORTOS gene signature as a predictor of risk of adverse events after dose-escalated vs. lower-dose prostate radiation therapy in NRG/RTOG 0126.,"Karen Hoffman , Sophia Kamran , Hyunnam Ryu , James Proudfoot , Elai Davicioni , Paul Nguyen , Stephanie Pugh , Daniel Spratt , Jeff Michalski , Matthew Parliament , Ian Dayes , Rohann Correa , John Robertson , Elizabeth Gore , Desiree Doncals , Eric Vigneault , Luis Souhami , Felix Feng , Phuoc Tran , Shuang Zhao","Department of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Massachusetts General Hospital, Harvard Medical School, Veracyte, Inc., Brigham and Women's Hospital, NRG Oncology, University Hospitals Seidman Cancer Center, Case Western Reserve University, Washington University School of Medicine in St. Louis, University of Alberta, Juravinski Cancer Centre, London Health Sciences Centre, Beaumont CCOP, Milwaukee VAMC and the Medical College of Wisconsin, Summa Health Medical Group, CHU de Quebec, McGill University Health Centre, Radiology School of Medicine, University of California, San Francisco, University of Maryland, University of Wisconsin Carbone Cancer Center"
15,,World-wide oligometastatic prostate cancer (omPC) meta-analysis leveraging individual patient data (IPD) from randomized trials (WOLVERINE): An analysis from the X-MET collaboration.,"Chad Tang , Alexander Sherry , Hyunsoo Hwang , Giulio Francolini , Lorenzo Livi , Phuoc Tran , Paul Corn , Ana Aparicio , Gabriele Simontacchi , Ana Kiess , Jarey Wang , Valerie Fonteyne , Renée Bultijnck , Robert Olson , Stephen Harrow , Ethan Ludmir , Pierre Blanchard , Ryan Sun , David Palma , Piet Ost","Department of Radiation Oncology, The University of Texas MD Anderson Cancer Center, The University of Texas MD Anderson Cancer Center, Azienda Ospedaliero Universitaria Careggi, University of Florence, University of Maryland, Department of Genitourinary Medical Oncology, The University of Texas MD Anderson Cancer Center, Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Ghent University, British Columbia Cancer Agency, Edinburgh Cancer Centre, Western General Hospital, Gustave Roussy Cancer Centre, Department of Biostatistics, The University of Texas MD Anderson Cancer Center, Department of Radiation Oncology, London Regional Cancer Center"
254,G27,The prognostic impact of prostate-specific antigen at 6 months after post-prostatectomy radiotherapy: An individual patient data analysis of two NRG oncology randomized trials.,"Osama Mohamad , David Swanson , Alan Pollack , Himanshu Lukka , Alan Dal Pra , Ian Dayes , Andre-Guy Martin , Michael Greenberg , Alexander Balogh , Jeff Michalski , Peter Vavassis , Adam Currey , Robert Dess , Jason Efstathiou , Nirav Kapadia , Samir Patel , Belal Ahmad , Howard Sandler , Stephanie Pugh , Paul Nguyen","Department of Radiation Oncology, The University of Texas MD Anderson Cancer Center, The University of Texas MD Anderson Cancer Center, University of Miami Health System, McMaster University, University of Miami, Juravinski Cancer Centre, CHU de Quebec, Université Laval, Thomas Jefferson University Hospital, Tom Baker Cancer Centre, Washington University School of Medicine in St. Louis, Hôpital Maisonneuve-Rosemont de Montréal, Medical College of Wisconsin, Michigan Medicine, Massachusetts General Hospital, Dartmouth-Hitchcock Medical Center, Cross Cancer Institute, London Regional Cancer Program, Cedars-Sinai Medical Center, NRG Oncology, Brigham and Women's Hospital"
385,K15,Hypofractionated radiotherapy for prostate cancer (HYDRA): An individual patient data meta-analysis of randomized trials in the MARCAP consortium.,"Amar Kishan , Yilun Sun , David Dearnaley , Emma Hall , Alison Tree , Charles Catton , Himanshu Lukka , William Lee , Howard Sandler , Luca Incrocci , Wilma Heemsbergen , Jessica Wong , Eric Horwitz , Karen Hoffman , Comron Hassanzadeh , Deborah Kuban , Giuseppe Sanguineti , Stefano Arcangeli , John Nikitas , Daniel Spratt","Department of Radiation Oncology, University of California, Los Angeles, Department of Population Quantitative Health Sciences, Case Western Reserve University School of Medicine, The Royal Marsden NHS Foundation Trust, The Institute of Cancer Research, Clinical Trials and Statistics Unit, The Royal Marsden Hospital NHS Foundation Trust, Radiation Oncology Department, Princess Margaret Cancer Centre, McMaster University, Duke University School of Medicine, Cedars-Sinai Medical Center, Erasmus MC Cancer Institute, Erasmus University Medical Center, Fox Chase Cancer Center, Department of Radiation Oncology, The University of Texas MD Anderson Cancer Center, The University of Texas MD Anderson Cancer Center, Regina Elena Institute-Istituti Fisioterapici Ospitalieri (IRE-IFO), University of Milano-Bicocca, University of California, Department of Radiation Oncology, University Hospitals Seidman Cancer Center, Case Western Reserve University"
64,B10,Comparing progression following systemic and tumor-directed therapy for de novo versus recurrent PSMA PET–defined oligo-M1 prostate cancer: A pooled analysis of SOLAR and SATURN clinical trials.,"Jesus Juarez Casillas , John Nikitas , Matthew Rettig , Robert Reiter , Alan Lee , Michael Steinberg , Luca Valle , Tahmineh Romero , Jeremie Calais , Johannes Czernin , Sonny Tsai , Nathanael Kane , Abhishek Solanki , Rachael Sexton , Sai Duriseti , Gholam Berenji , William Aronson , Isla Garraway , Nicholas Nickols , Amar Kishan","Department of Radiation Oncology, University of California, Los Angeles, VA Greater Los Angeles Healthcare System, Department of Urology, University of California, Los Angeles, Department of Medicine Statistics Core, University of California, Los Angeles, Ahmanson Translational Theranostics Division, University of California, Los Angeles, Loyola University Chicago, Cancer Research and Biostatistics, University of California, Los Angeles"
413,L9,Improving prostate cancer risk stratification using spatial single-cell tumor profiling.,"William Chen , Mikhail Dias , Chien-Kuang Ding , Stefanie Engler , Sophie Déglise , Aishwarya Subramanian , Haolong Li , Andrea Jacobs , Martin Sjöström , Jonathan Chou , Julian Hong , Shuang Zhao , Jeffry Simko , Eric Small , Alan Ashworth , David Quigley , Peter Carroll , Matthew Cooperberg , Bernd Bodenmiller , Felix Feng","Department of Radiation Oncology, University of California, San Francisco, University of California, San Francisco, University of Zurich, Fred Hutchinson Cancer Center, University of Wisconsin Carbone Cancer Center, University of California San Francisco"
105,C15,Patterns of next-generation sequencing and associated next-line systemic therapy use in metastatic prostate cancer.,"Julia Shi , Changchuan Jiang , Hamid Ghaderi , James Yu , Daniel Yang","Department of Radiation Oncology, UT Southwestern Medical Center, UT Southwestern Medical Center, Section of Medical Oncology, Department of Internal Medicine, Yale School of Medicine"
384,K14,Evaluation of post radiotherapy PSA as a prognostic and predictive biomarker in high risk prostate cancer: A secondary analysis of RTOG 0521.,"Paul Koffer , Christina Raker , Thomas DiPetrillo , Benedito Carneiro , Anthony Mega , Howard Sandler , George Rodrigues , Amit Shah , Jason Efstathiou , Susan Chafe , Alexander Balogh , Scott Williams , Deborah Kuban , Elizabeth Gore , Jessica Wong , Marie Duclos , Paul Nguyen , Felix Feng","Department of Radiation Oncology, Warren Alpert Medical School of Brown University, Brown University Health, Department of Medical Oncology, Warren Alpert Medical School of Brown University, Cedars-Sinai Medical Center, Verspeeten Family Cancer Centre, London Health Sciences Centre, Wellspan Health, York Cancer Center, Massachusetts General Hospital/Mass General Brigham and Women's Hospital, Cross Cancer Institute, Tom Baker Cancer Centre, Peter MacCallum Cancer Centre, The University of Texas MD Anderson Cancer Center, Milwaukee VAMC and the Medical College of Wisconsin, Fox Chase Cancer Center, Cedars Cancer Centre, McGill University Health Centre, Brigham and Women's Hospital, UCSF Medical Center- Mission Bay"
40,A18,PSMA PET vs. pelvic MRI in biochemically recurrent prostate cancer.,"Ida Sonni , Vishnu Murthy , Raj Mehta , Alex Chung , Lena Unterrainer , Masatoshi Hotta , Andrea Farolfi , Cecil Benitez , Wesley Armstrong , Sahith Doddipalli , Anishka Bandara , Luca Valle , Amar Kishan , Matthias Benz , Steven Raman","Department of Radiological Sciences, David Geffen School of Medicine, University of California, Los Angeles, Department of Molecular and Medical Pharmacology, University of California, Los Angeles, University of California, Los Angeles, Ahmanson Translational Theranostics Division, University of California, Los Angeles, Department of Radiological Sciences, University of California, Los Angeles, Department of Radiation Oncology, University of California, Los Angeles"
175,E14,Assessing the clinical impact of tumor volume on response to 177Lu-PSMA radioligand therapy in metastatic castration-resistant prostate cancer.,"Yalda Nikanpour , Mohamed Ahmed , Carter Day , Mindie Mahon , Rimki Haloi , Zeina Wael , Eugene Kwon , Jack Andrews","Department of Radiology, Mayo Clinic in Rochester, Department of Urology, Mayo Clinic in Rochester, Mayo Clinic in Rochester, Mayo Clinic in Arizona"
17,,"Overall survival and quality of life with [177Lu] Lu-PSMA-617 plus enzalutamide versus enzalutamide alone in poor-risk, metastatic, castration-resistant prostate cancer in ENZA-p (ANZUP 1901).","Louise Emmett , Shalini Subramaniam , Megan Crumbaker , Andrew Nguyen , Anthony Joshua , Andrew Weickhardt , Sze Ting Lee , Siobhan Ng , Roslyn Francis , Jeffrey Goh , David Pattison , Thean Tan , Ian Kirkwood , Shahneen Sandhu , Alison Zhang , Michael Hofman , Hayley Thomas , Andrew Martin , Ian Davis , Martin Stockler","Department of Theranostics and Nuclear Medicine, St Vincent's Hospital; Faculty of Medicine, UNSW, NHMRC Clinical Trials Centre, University of Sydney, Department of Medical Oncology, The Kinghorn Cancer Centre, St Vincent’s Hospital, Department of Theranostics and Nuclear Medicine, St Vincent's Hospital, Department of Medical Oncology, Kinghorn Cancer Centre, St Vincent’s Hospital, Olivia Newton John Cancer Wellness & Research Centre, Austin Health, Department of Molecular Imaging and Therapy, Austin Health, Department of Oncology, Sir Charles Gairdner Hospital and University of Western Australia, Department Nuclear Medicine, Sir Charles Gairdner Hospital, Department of Oncology, Cancer Care Services, Royal Brisbane and Women’s Hospital, Department of Nuclear Medicine & Specialised PET Services, Royal Brisbane and Women’s Hospital, Department of Medical Oncology, Royal Adelaide Hospital, Nuclear Medicine, PET and Bone Densitometry, Royal Adelaide Hospital, Sir Peter MacCallum Department of Oncology, The University of Melbourne, Prostate Cancer Theranostics and Imaging Centre of Excellence (ProsTIC), Molecular Imaging and Therapeutic Nuclear Medicine, Peter MacCallum Cancer Centre, The University of Queensland, Monash University Eastern Health Clinical School, NHMRC Clinical Trials Centre, The University of Sydney"
717,D14,"Global real-world patients characteristics, treatment patterns, and impact of BCG shortage in patients with high-risk non-muscle invasive bladder cancer.","Jens Bedke , Anthony Eccleston , Julia Brinkmann , Jane Chang , Abin Koshy , Neil Milloy , Laure Manuel , Jacob Skilling , Emilia Biondi , Elliott Brown , Gary Steinberg , Oscar Rodriguez Faba , Yohann Loriot , Paolo Gontero , Yair Lotan","Department of Urology & Eva Mayr-Stihl Cancer Center, Pfizer Ltd, Pfizer Pharma GmbH, Pfizer Inc., Adelphi Real World, Department of Urology, Rush University, Fundació Puigvert, Universitat Autònoma de Barcelona, Gustave Roussy, Department of Therapeutic Innovation and Early Phase Trials, Dipartimento di Discipline Medico Chirurgiche, Clinica Urologica, University of Torino, Department of Urology, UT Southwestern Medical Center"
214,F18,The prognostic significance of circulating tumor DNA in prostate cancer: A systematic review and meta-analysis.,Haolin Liu,"Department of Urology and Institute of Urology, West China Hospital, Sichuan University"
521,F19,Global and regional burden of kidney cancer: Analysis and future predictions based on GBD data from 1990 to 2021.,"Haochen Zhao , Qiang Wei","Department of Urology and Institute of Urology, West China Hospital, Sichuan University"
TPS616,K17,VORSIN-RCC: Vorolanib plus sintilimab for advanced renal cell carcinoma after failure of prior immune checkpoint inhibitors-based combination therapy.,"Yu Shen , Xingming Zhang , Xinyuan Wei , Jiayu Liang , Guangxi Sun , Junjie Zhao , Haoyang Liu , Junru Chen , Xu Hu , Yuntian Chen , Jin Yao , Ni Chen , Ling Nie , Peng Zhang , Xiang Li , Qiang Wei , Pengfei Shen , Jiyan Liu , Zhenhua Liu , Hao Zeng","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, Department of Radiology, West China Hospital, Sichuan University, Department of Pathology, West China Hospital, Sichuan University, Department of Biotherapy, Cancer Center, West China Hospital, Sichuan University"
544,G11,"Cadonilimab (anti-PD-1 and CTLA-4 bispecific antibody) combined with axitinib for the first-line treatment of advanced or metastatic non-clear renal cell carcinoma: A prospective, single-arm, phase Ib/II study.","Xu Hu , Fengnian Zhao , Yuntian Chen , Junjie Zhao , Yifu Shi , Yanfeng Tang , Yongquan Wang , Xingming Zhang , Jiayu Liang , Jinge Zhao , Junru Chen , Qiang Wei , Xiang Li , Jiyan Liu , Ni Chen , Pengfei Shen , Jin Yao , Guangxi Sun , Zhenhua Liu , Hao Zeng","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, Department of Radiology, West China Hospital, Sichuan University, Department of Urology, Southwest Hospital, Army Medical University, Chongqing, Department of Biotherapy, Cancer Center, West China Hospital, Sichuan University, Department of Pathology, West China Hospital, Sichuan University"
6,D5,Risk factors of complications after inguinal lymph node dissection in patients with penile cancer.,"Yilong Gao , Yanxiang Shao , Xiang Li","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, Department of Urology, West China Hospital, Sichuan University"
841,H5,Pathological subclassification of T3 upper tract urothelial carcinoma: Complementary evidence for existing guidelines.,"Lei Zheng , Jianjun Ye , Qihao Wang , Qiang Wei , Yige Bao","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, Department of Urology, West China Hospital, Sichuan University, Department of Urology and Institute of Urology, West China Hospital,  Sichuan University"
794,F21,Comprehensive modalities of kidney-sparing treatment in a carefully selected cohort of localized high-risk upper tract urothelial carcinoma: A potential paradigm shift.,"Zeyu Chen , Jianjun Ye , Xiang Tu , Xinyang Liao , Qihao Wang , Lei Zheng , Kai Chen , Qiang Wei , Yige Bao","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, Department of Urology, West China Hospital, Sichuan University, Department of Urology and Institute of Urology, West China Hospital,  Sichuan University"
729,D26,Survival impact of concomitant squamous differentiation in upper tract urothelial carcinoma patients receiving adjuvant chemotherapy.,"Jianjun Ye , Xinyang Liao , Shiyu Zhang , Qiang Wei , Yige Bao","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, Department of Urology, West China Hospital, Sichuan University, West China Hospital, Sichuan University"
500,E33,Safety and efficacy of immune checkpoint inhibitor rechallenge in metastatic fumarate hydratase-deficient renal cell carcinoma: A retrospective study.,"Yanfeng Tang , Minghao Wang , Jiayu Liang , Hao Zeng","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital of Sichuan University"
333,H33,Interpretable machine learning for prostate biopsy: Cohort study.,"Jindong Dai , Jinge Zhao , Pengfei Shen , Hao Zeng","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital of Sichuan University"
78,B24,The prognostic significance of prostate-specific antigen dynamics during abiraterone therapy in patients with high-risk metastatic hormone-sensitive prostate cancer.,"Qian Wang , Hong Zeng , Jindong Dai , Qiyu Zhu , Jinge Zhao , Xingming Zhang , Hao Zeng , Pengfei Shen","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital of Sichuan University"
191,E30,Genomic features of prostate cancer patients with and without ductal adenocarcinoma (DA) based on liquid biopsy.,"Qiyu Zhu , Jinge Zhao , Yifu Shi , Hao Zeng","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital of Sichuan University"
550,G17,Efficacy of systemic treatments for advanced non-clear cell renal cell carcinoma: A single-arm systematic review and meta-analysis.,"Xinyuan Wei , Yu Shen , Jiayu Liang , Xingming Zhang , Junru Chen , Guangxi Sun , Xu Hu , Pengfei Shen , Hao Zeng , Zhenhua Liu , Jinge Zhao","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital of Sichuan University"
404,K34,Phenotypic and genetically predicted leukocyte telomere length and prostate cancer risk: Results from a large-scale longitudinal cohort study.,"Xiaoyang Liu , Shengzhuo Liu , Xin Yan , Jing Zhou , Yunfei Yu , Qiang Dong","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital, Sichuan University"
411,L7,The impact of neoadjuvant therapy on the formation of tertiary lymphatic structures and the distinct prognosis in prostate cancer.,"Shengzhuo Liu , Jing Zhou , Xin Yan , Yunfei Yu , Xiaoyang Liu , Qiang Dong","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital, Sichuan University"
839,H3,Discordance in HER2 expression in primary and recurrent/metastatic lesions of upper tract urothelial carcinoma: A study focusing on temporal heterogeneity.,"Jianjun Ye , Xinyang Liao , Qihao Wang , Lei Zheng , Kai Chen , Qiang Wei , Yige Bao","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital, Sichuan University, Department of Urology and Institute of Urology, West China Hospital,  Sichuan University"
791,F18,Kidney-sparing approach for selected localized high-risk upper tract urothelial carcinoma: A pilot study combining endoscopic thulium laser ablation with perioperative disitamab vedotin and immune checkpoint inhibitors.,"Jianjun Ye , Zeyu Chen , Xinyang Liao , Xiang Tu , Qihao Wang , Lei Zheng , Kai Chen , Qiang Wei , Yige Bao","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital, Sichuan University, Department of Urology and Institute of Urology, West China Hospital,  Sichuan University"
390,K20,Evaluating the efficacy and safety of pelvic lymph node dissection in high-risk prostate cancer patients undergoing radical prostatectomy: A systematic review and meta-analysis.,"Qihao Wang , Jianjun Ye , Lei Zheng , Kai Chen , Qiang Wei , Yige Bao","Department of Urology and Institute of Urology, West China Hospital, Sichuan University, West China Hospital, West China Hospital, Sichuan University, Department of Urology and Institute of Urology, West China Hospital,  Sichuan University"
827,G23,NECTIN4 RNA expression and clinical outcomes with first-line (1L) platinum-based chemotherapy (PBC) and avelumab 1L maintenance in locally advanced or metastatic urothelial carcinoma (la/mUC): Exploratory analyses from JAVELIN Bladder 100.,"Niklas Klümper , Markus Eckstein , Petros Grivas , Enrique Grande , Johannes Brägelmann , Jason Hoffman , Parantu Shah , Olga Bogatyrova , Viktor Grünwald","Department of Urology and Paediatric Urology, University Hospital, Institute of Pathology, University Hospital Erlangen, Friedrich-Alexander-Universität Erlangen-Nürnberg, University of Washington and Fred Hutchinson Cancer Center, Department of Medical Oncology, MD Anderson Cancer Center Madrid, University of Cologne and University Hospital Cologne, EMD Serono, Inc., EMD Serono R&D Inc., The Healthcare Business of Merck KGaA, Essen University Hospital"
465,D33,"First preliminary results of artificial intelligence-generated, explainable treatment recommendations for renal cell cancer based on multidisciplinary cancer conferences.","Gregor Duwe , Dominique Mercier , Verena Kauth , Kerstin Moench , Markus Junker , Andreas Dengel , Axel Haferkamp , Thomas Höfner","Department of Urology and Pediatric Urology Johannes Gutenberg University Medical Center Mainz, German Research Center For Artificial Intelligence, Smart Data & Knowledge Services, Department of Urology and Pediatric Urology, University Medical Center of the Johannes Gutenberg-University Mainz, Ordensklinikum Linz Elisabethinen, Department of Urology"
645,J30,Development of an miRNA signature for individual prognostic assessment in seminoma patients.,"Julia Heinzelbecker , Farzaneh Zohari , Lea Eckhart , Hiresh Ayoubyan , Hans-Peter Lenhof , Rainer Bohle , Felix Bremmer , Fabian Gayer , Yue Che , Peter Albers , Michael Stöckle , Kerstin Junker","Department of Urology and Pediatric Urology, Saarland University Medical Center and Saarland University, Department of Urology and Pediatric Urology, Saarland University, Center for Bioinformatics, Saarland Informatics Campus, Saarland University, Institute of Pathology, Saarland University Medical Center and Saarland University, Institute of Pathology, University Medical Center Göttingen, Department of Urology, University Medical Center Göttingen, Department of Urology, University Hospital of Duesseldorf"
